CMDLINE python server.py
MEM 10.824219 1411467665.4503
MEM 10.824219 1411467665.5723
MEM 10.824219 1411467665.6944
MEM 10.824219 1411467665.8541
MEM 10.824219 1411467665.9684
MEM 10.824219 1411467666.1079
MEM 10.824219 1411467666.2302
MEM 10.824219 1411467666.3508
MEM 10.824219 1411467666.4723
MEM 10.824219 1411467666.6078
MEM 10.824219 1411467666.7460
MEM 10.824219 1411467666.8592
MEM 10.824219 1411467667.0012
MEM 10.824219 1411467667.1223
MEM 10.824219 1411467667.2427
MEM 10.824219 1411467667.4008
MEM 10.824219 1411467667.5195
MEM 10.824219 1411467667.6362
MEM 10.824219 1411467667.7523
MEM 10.824219 1411467667.8700
MEM 10.824219 1411467668.0237
MEM 10.824219 1411467668.1569
MEM 10.824219 1411467668.2793
MEM 10.824219 1411467668.4192
MEM 10.824219 1411467668.5247
MEM 10.824219 1411467668.6471
MEM 10.824219 1411467668.7776
MEM 10.824219 1411467668.8985
MEM 10.824219 1411467669.0202
MEM 10.824219 1411467669.1638
MEM 10.824219 1411467669.2706
MEM 10.824219 1411467669.4013
MEM 10.824219 1411467669.5143
MEM 10.824219 1411467669.6461
MEM 10.824219 1411467669.7669
MEM 10.824219 1411467669.8895
MEM 10.824219 1411467670.0197
MEM 10.824219 1411467670.1472
MEM 10.824219 1411467670.2689
MEM 10.824219 1411467670.3950
MEM 10.824219 1411467670.5098
MEM 10.824219 1411467670.6372
MEM 10.824219 1411467670.7585
MEM 10.824219 1411467670.8933
MEM 10.824219 1411467671.0062
MEM 10.824219 1411467671.1179
MEM 10.824219 1411467671.2367
MEM 10.824219 1411467671.3583
MEM 10.824219 1411467671.4694
MEM 10.824219 1411467671.5973
MEM 10.824219 1411467671.7400
MEM 10.824219 1411467671.8671
MEM 10.824219 1411467671.9926
MEM 10.824219 1411467672.1133
MEM 10.824219 1411467672.2335
MEM 10.824219 1411467672.3546
MEM 10.824219 1411467672.4765
MEM 10.824219 1411467672.5983
MEM 10.824219 1411467672.7187
MEM 10.824219 1411467672.8521
MEM 10.824219 1411467672.9914
MEM 10.824219 1411467673.0995
MEM 10.824219 1411467673.2381
MEM 10.824219 1411467673.3662
MEM 10.824219 1411467673.4786
MEM 10.824219 1411467673.6092
MEM 10.824219 1411467673.7281
MEM 10.824219 1411467673.8486
MEM 10.824219 1411467673.9683
MEM 10.824219 1411467674.1023
MEM 10.824219 1411467674.2233
MEM 10.824219 1411467674.3454
MEM 10.824219 1411467674.4705
MEM 10.824219 1411467674.5894
MEM 10.824219 1411467674.6989
MEM 10.824219 1411467674.8221
MEM 10.824219 1411467674.9618
MEM 10.824219 1411467675.0847
MEM 10.824219 1411467675.2211
MEM 10.824219 1411467675.3337
MEM 10.824219 1411467675.4623
MEM 10.824219 1411467675.6025
MEM 10.824219 1411467675.7247
MEM 10.824219 1411467675.8465
MEM 10.824219 1411467675.9810
MEM 10.824219 1411467676.0896
MEM 10.824219 1411467676.2118
MEM 10.824219 1411467676.3364
MEM 10.824219 1411467676.4712
MEM 10.824219 1411467676.5931
MEM 10.824219 1411467676.7294
MEM 10.824219 1411467676.8502
MEM 10.824219 1411467676.9709
MEM 10.824219 1411467677.0924
MEM 10.824219 1411467677.2140
MEM 10.824219 1411467677.3278
MEM 10.824219 1411467677.4512
MEM 10.824219 1411467677.5741
MEM 10.824219 1411467677.6972
MEM 10.824219 1411467677.8195
MEM 10.824219 1411467677.9490
MEM 10.824219 1411467678.0777
MEM 10.824219 1411467678.2022
MEM 10.824219 1411467678.3228
MEM 10.824219 1411467678.4442
MEM 10.824219 1411467678.5722
MEM 10.824219 1411467678.7046
MEM 10.824219 1411467678.8180
MEM 10.824219 1411467678.9485
MEM 10.824219 1411467679.0686
MEM 10.824219 1411467679.1918
MEM 10.824219 1411467679.3167
MEM 10.824219 1411467679.4377
MEM 10.824219 1411467679.5609
MEM 10.824219 1411467679.6815
